TestID,Category,Module / Page,Test Case,Method,Environment,Status,Observed Result (evidence),Executed At
WEB-CH-00001,UI/UX,Login,element_present_username_input,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:44.509Z
WEB-CH-00002,UI/UX,Login,element_present_password_input,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:44.519Z
WEB-CH-00003,UI/UX,Login,element_present_submit_button,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:44.561Z
WEB-CH-00004,UI/UX,Login,element_present_register_link,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:44.676Z
WEB-CH-00005,UI/UX,Login,element_present_password_toggle,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:44.685Z
WEB-CH-00006,UI/UX,Login,element_present_forgot_password_button,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:44.694Z
WEB-CH-00007,UI/UX,Login,element_present_ai_analysis_feature_label,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:44.702Z
WEB-CH-00008,Functional,Login,empty_submit_blocked,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Form did not navigate away on empty submit,2026-07-27T21:48:45.565Z
WEB-CH-00009,Security,Login,wrong_credentials_rejected,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,No error banner appeared after invalid login,2026-07-27T21:48:54.288Z
WEB-CH-00010,Security,Login,sql_injection_input_no_crash,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Page still renders content after SQLi-style login attempt,2026-07-27T21:48:56.054Z
WEB-CH-00011,Functional,Login,password_show_hide_toggle,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,type changed password -> text,2026-07-27T21:48:56.256Z
WEB-CH-00012,UI/UX,Login,register_link_navigates,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Landed on https://jaishreeprakash.github.io/burnout-ai/register,2026-07-27T21:48:56.443Z
WEB-CH-00013,UI/UX,Register,element_present_full_name_input,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:56.620Z
WEB-CH-00014,UI/UX,Register,element_present_username_input,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:56.629Z
WEB-CH-00015,UI/UX,Register,element_present_email_input,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:56.643Z
WEB-CH-00016,UI/UX,Register,element_present_age_input,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:56.657Z
WEB-CH-00017,UI/UX,Register,element_present_gender_select,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:56.670Z
WEB-CH-00018,UI/UX,Register,element_present_password_input,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:56.678Z
WEB-CH-00019,UI/UX,Register,element_present_confirm_password_input,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:56.692Z
WEB-CH-00020,UI/UX,Register,element_present_submit_button,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:56.699Z
WEB-CH-00021,UI/UX,Register,element_present_login_link,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:48:56.710Z
WEB-CH-00022,Functional,Register,short_password_blocked,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Weak password correctly blocked client-side submit,2026-07-27T21:48:57.919Z
WEB-CH-00023,Functional,Register,password_mismatch_blocked,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Password mismatch correctly blocked client-side submit,2026-07-27T21:48:59.226Z
WEB-CH-00024,Security,Register,xss_input_no_crash,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Page renders normally with XSS-style full_name input (no script executed/crash),2026-07-27T21:48:59.913Z
WEB-CH-00025,UI/UX,Register,login_link_navigates,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Landed on https://jaishreeprakash.github.io/burnout-ai/login,2026-07-27T21:49:00.048Z
WEB-CH-00026,Functional,Login,empty_submit_shows_required_errors,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,react-hook-form required-field messages present: True,2026-07-27T21:49:00.474Z
WEB-CH-00027,Functional,Login,password_toggle_reverts_on_second_click,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,type sequence password -> text -> password,2026-07-27T21:49:00.666Z
WEB-CH-00028,Functional,Register,empty_submit_shows_required_errors,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,react-hook-form required-field messages present: True,2026-07-27T21:49:01.098Z
WEB-CH-00029,Functional,Register,invalid_email_format_blocked,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,Invalid email format correctly blocked client-side submit,2026-07-27T21:49:02.038Z
WEB-CH-00030,Functional,Register,username_min_length_blocked,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Sub-minimum-length username correctly blocked client-side submit,2026-07-27T21:49:03.025Z
WEB-CH-00031,Functional,Register,username_invalid_chars_blocked,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Username with invalid characters correctly blocked client-side submit,2026-07-27T21:49:03.971Z
WEB-CH-00032,Functional,Register,age_out_of_range_blocked,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,Below-minimum age correctly blocked client-side submit,2026-07-27T21:49:04.950Z
WEB-CH-00033,Functional,Register,gender_select_has_expected_options,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,"Gender select options: ['Prefer not to say', 'Male', 'Female', 'Non-binary', 'Other']",2026-07-27T21:49:05.062Z
WEB-CH-00034,Functional,Register,real_registration_succeeds,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Registered selenium.chrome.9c580bf3@healthsense.test and landed on https://jaishreeprakash.github.io/burnout-ai/dashboard,2026-07-27T21:49:11.098Z
WEB-CH-00035,Functional,Login,real_login_succeeds,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,"Signed out then logged back in with real credentials, reached /dashboard",2026-07-27T21:49:15.420Z
WEB-CH-00036,UI/UX,Sidebar,nav_link_dashboard_works,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Sidebar link 'Dashboard' navigated to https://jaishreeprakash.github.io/burnout-ai/dashboard,2026-07-27T21:49:15.636Z
WEB-CH-00037,UI/UX,Sidebar,nav_link_sleep_works,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Sidebar link 'Sleep Tracker' navigated to https://jaishreeprakash.github.io/burnout-ai/sleep,2026-07-27T21:49:15.772Z
WEB-CH-00038,UI/UX,Sidebar,nav_link_phone_works,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Sidebar link 'Phone Usage' navigated to https://jaishreeprakash.github.io/burnout-ai/phone,2026-07-27T21:49:15.915Z
WEB-CH-00039,UI/UX,Sidebar,nav_link_emotions_works,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Sidebar link 'Emotion Analysis' navigated to https://jaishreeprakash.github.io/burnout-ai/emotions,2026-07-27T21:49:16.056Z
WEB-CH-00040,UI/UX,Sidebar,nav_link_activity_works,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Sidebar link 'Activity Tracker' navigated to https://jaishreeprakash.github.io/burnout-ai/activity,2026-07-27T21:49:16.201Z
WEB-CH-00041,UI/UX,Sidebar,nav_link_recommendations_works,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Sidebar link 'Recommendations' navigated to https://jaishreeprakash.github.io/burnout-ai/recommendations,2026-07-27T21:49:16.333Z
WEB-CH-00042,UI/UX,Sidebar,nav_link_analytics_works,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Sidebar link 'Analytics' navigated to https://jaishreeprakash.github.io/burnout-ai/analytics,2026-07-27T21:49:16.466Z
WEB-CH-00043,UI/UX,Sidebar,nav_link_chat_works,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Sidebar link 'AI Coach Chat' navigated to https://jaishreeprakash.github.io/burnout-ai/chat,2026-07-27T21:49:16.706Z
WEB-CH-00044,UI/UX,Sidebar,nav_link_profile_works,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Sidebar link 'Profile' navigated to https://jaishreeprakash.github.io/burnout-ai/profile,2026-07-27T21:49:16.847Z
WEB-CH-00045,UI/UX,Dashboard,element_present_refresh_button,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,Element not found / timed out: TimeoutException,2026-07-27T21:49:37.274Z
WEB-CH-00046,UI/UX,Dashboard,element_present_burnout_score_heading,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,Element not found / timed out: TimeoutException,2026-07-27T21:49:57.694Z
WEB-CH-00047,UI/UX,Dashboard,element_present_wellness_score_heading,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Pass,Element located,2026-07-27T21:49:57.702Z
WEB-CH-00048,UI/UX,Dashboard,element_present_health_dimensions_heading,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,Element not found / timed out: TimeoutException,2026-07-27T21:50:18.078Z
WEB-CH-00049,UI/UX,Dashboard,element_present_emotional_stability_heading,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,Element not found / timed out: TimeoutException,2026-07-27T21:50:38.451Z
WEB-CH-00050,UI/UX,Dashboard,element_present_emotion_distribution_heading,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,Element not found / timed out: TimeoutException,2026-07-27T21:50:58.834Z
WEB-CH-00051,UI/UX,Dashboard,element_present_ai_recommendations_heading,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,Element not found / timed out: TimeoutException,2026-07-27T21:51:19.206Z
WEB-CH-00052,UI/UX,Dashboard,element_present_progress_comparison_heading,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,Element not found / timed out: TimeoutException,2026-07-27T21:51:39.577Z
WEB-CH-00053,UI/UX,Dashboard,element_present_quick_stats_heading,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,Element not found / timed out: TimeoutException,2026-07-27T21:51:59.950Z
WEB-CH-00054,UI/UX,Dashboard,element_present_view_all_link,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,Element not found / timed out: TimeoutException,2026-07-27T21:52:20.336Z
WEB-CH-00055,UI/UX,Dashboard,element_present_header_open_menu_button,UI,Web (React/Vite @ 127.0.0.1:3000) — chrome real browser engine,Fail,Element not found / timed out: TimeoutException,2026-07-27T21:52:40.703Z
